p100x10_0.txt	0.5	0.5	0.2	12290.0	 20.621
p100x10_0.txt	0.5	0.1	0.2	10576.0	 20.69
p100x10_0.txt	0.9	0.1	0.2	11172.0	 21.035
p100x10_0.txt	0.9	0.5	0.2	12520.0	 21.143
p100x3_0.txt	0.9	0.5	0.2	13792.5	 6.593
p100x3_0.txt	0.9	0.1	0.2	13165.2	 6.845
p100x3_0.txt	0.5	0.5	0.2	15199.5	 6.855
p100x3_0.txt	0.5	0.1	0.2	13690.0	 6.863
p100x5_0.txt	0.9	0.1	0.2	11039.0	 10.593
p100x5_0.txt	0.5	0.1	0.2	11815.6	 10.988
p100x5_0.txt	0.9	0.5	0.2	12863.0	 11.01
p100x5_0.txt	0.5	0.5	0.2	11877.800000000001	 11.062
